,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
57,94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,0,83,-0.9999999879518074,0.07255244748902757,0.5841905793178127,0.46246524559777574,0.41866232996623537,0.5841905793178127,499,1071,2.5845272206303727,13,6.940242763772176
58,95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,0,69,-0.9999999855072467,0.0814639904587202,0.5628612716763006,0.4749679075738126,0.41513167170004533,0.5628612716763006,370,774,2.57012987012987,19,7.0
59,96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,0,41,-0.9999999756097567,0.07068965505053508,0.5883668903803132,0.48098859315589354,0.4277421934144827,0.5883668903803132,253,522,2.596116504854369,8,7.040229885057471
60,97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,0,4,-0.9999997500000625,0.028368794125044013,0.6850828729281768,0.5645161290322581,0.49983960078417394,0.6850828729281768,70,124,3.0081967213114753,1,7.82258064516129
61,98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,0,53,-0.9999999811320759,0.09906542037557865,0.5900116144018583,0.4468503937007874,0.41474480324105834,0.5900116144018583,227,507,2.4549098196392785,3,6.72189349112426
62,99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,0,108,-0.9999999907407409,0.08017817365985287,0.5668122270742358,0.48536209553158705,0.42086972904232917,0.5668122270742358,630,1292,2.653605015673981,10,6.868421052631579
63,100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,0,110,-0.999999990909091,0.07896625981409457,0.603422244589834,0.4653878231859883,0.42752402711032894,0.603422244589834,558,1192,2.5146935348446684,2,6.902684563758389
64,101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,0,59,-0.9999999830508478,0.07160194166067725,0.5965045592705167,0.554140127388535,0.46025787466362067,0.5965045592705167,435,782,2.829923273657289,9,7.554987212276215
65,102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,0,61,-0.9999999836065577,0.06703296695930443,0.6254598969830758,0.45529411764705885,0.4323016058520539,0.6254598969830758,387,849,2.5943970767356883,7,6.705535924617196
66,103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,0,84,-0.9999999880952383,0.09312638570606831,0.5263748597081931,0.48294243070362475,0.4037269161647272,0.5263748597081931,453,935,2.6247311827956987,33,6.974331550802139
67,104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,0,88,-0.9999999886363637,0.08486017349579539,0.5885542168674699,0.49129989764585463,0.4319416458053298,0.5885542168674699,480,974,2.7025052192066807,12,7.087268993839836
68,105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,0,28,-0.9999999642857155,0.06167400867472685,0.6270676691729323,0.5539568345323741,0.4724098014821226,0.6270676691729323,231,417,2.861985472154964,1,7.482014388489208
69,106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,0,122,-0.9999999918032788,0.1307609859263012,0.534587995930824,0.44814462416745954,0.39309304803931344,0.534587995930824,471,1051,2.5063168124392616,16,6.621313035204567
70,107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,0,20,-0.9999999500000024,0.036036035971106245,0.588500563697858,0.5459770114942529,0.45379103007684435,0.588500563697858,285,520,2.753875968992248,1,7.365384615384615
71,108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0,23,-0.999999956521741,0.04049295767518846,0.6101295641931684,0.5656370656370656,0.47030665193209364,0.6101295641931684,293,518,2.8133595284872297,1,7.754826254826255
72,109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,0,6,-0.9999998333333611,0.026200873248031123,0.6636904761904762,0.5426008968609866,0.4825165492205852,0.6636904761904762,121,223,2.8136363636363635,3,7.57847533632287
73,110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,0,3,-0.9999996666667778,0.02097902083231454,0.6810810810810811,0.5476190476190477,0.49148005148005147,0.6810810810810811,69,126,2.9919354838709675,1,7.785714285714286
74,111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,0,96,-0.9999999895833335,0.1013727559647595,0.5816393442622951,0.5107102593010147,0.43693984142532394,0.5816393442622951,453,882,2.615650172612198,3,7.019274376417234
75,112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,0,35,-0.9999999714285723,0.0626118066858465,0.5873015873015873,0.47104247104247104,0.42333762333762337,0.5873015873015873,244,518,2.6307385229540916,4,6.913127413127413
76,113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,0,96,-0.9999999895833335,0.0832610580370676,0.5291523762861342,0.46111111111111114,0.3961053949588982,0.5291523762861342,498,1075,2.596622889305816,10,6.934883720930233
77,114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,0,45,-0.9999999777777784,0.08806262213686375,0.6025,0.5394190871369294,0.4567676348547718,0.6025,260,482,2.710970464135021,5,7.29253112033195
78,115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,0,9,-0.9999998888889013,0.025139664734246746,0.6361940298507462,0.45454545454545453,0.4362957937584804,0.6361940298507462,155,341,2.633136094674556,1,6.903225806451613
79,116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,0,32,-0.9999999687500011,0.05342237052851023,0.5955882352941176,0.47795414462081126,0.42941695196597157,0.5955882352941176,271,565,2.550541516245487,5,6.755752212389381
80,117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,0,24,-0.999999958333335,0.0545454544214876,0.6272,0.5,0.45088,0.6272,196,391,2.831168831168831,2,7.281329923273657
81,118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,0,26,-0.9999999615384629,0.07951070312076237,0.5682656826568265,0.525974025974026,0.43769588345234106,0.5682656826568265,162,305,2.8529411764705883,1,7.521311475409836
82,119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,0,8,-0.9999998750000157,0.03478260854442344,0.6446540880503144,0.5609756097560976,0.48225187912256484,0.6446540880503144,115,205,2.9211822660098523,3,7.770731707317073
83,120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,0,63,-0.9999999841269844,0.10641891873915724,0.562111801242236,0.4162062615101289,0.391327225100946,0.562111801242236,226,536,2.4925925925925925,14,6.667910447761194
84,121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,0,13,-0.9999999230769291,0.05627705603343266,0.6355685131195336,0.5137614678899083,0.4597319924037768,0.6355685131195336,112,217,2.7488372093023257,2,7.225806451612903
85,122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,0,46,-0.9999999782608701,0.08185053366218767,0.6251511487303507,0.5822050290135397,0.48294247109755617,0.6251511487303507,301,517,2.925196850393701,1,7.6189555125725335
86,123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,0,11,-0.9999999090909174,0.052884615130362425,0.6139240506329114,0.5103092783505154,0.4496933315933708,0.6139240506329114,99,192,2.7526315789473683,5,7.307291666666667
87,124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,0,37,-0.9999999729729737,0.12131147501209352,0.5596330275229358,0.46885245901639344,0.4113941946157317,0.5596330275229358,143,296,2.642384105960265,6,7.114864864864865
88,125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,0,75,-0.9999999866666669,0.06334459454109409,0.5841905793178127,0.535681186283596,0.44794870624056354,0.5841905793178127,578,1078,2.799627213420317,17,7.51948051948052
89,126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,0,67,-0.9999999850746272,0.06713426846980534,0.5382571732199788,0.42546890424481737,0.3854904309859185,0.5382571732199788,431,1005,2.5365111561866125,19,6.684577114427861
90,127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,0,62,-0.999999983870968,0.06037000967831547,0.5843260188087774,0.43240343347639487,0.4066917809140689,0.5843260188087774,403,929,2.502202643171806,17,6.673842841765339
91,128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,0,31,-0.9999999677419364,0.05636363626115703,0.49556650246305417,0.4711729622266402,0.3866957858758777,0.49556650246305417,237,494,2.589430894308943,1,6.935222672064778
92,129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,0,53,-0.9999999811320759,0.06408706159118856,0.5044585987261146,0.4595959595959596,0.38562182332882977,0.5044585987261146,364,789,2.503846153846154,5,6.718631178707224
93,130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,0,39,-0.999999974358975,0.1089385471817359,0.5589171974522293,0.5014245014245015,0.4241366795506924,0.5589171974522293,176,349,2.7220630372492836,9,7.017191977077364
94,131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,0,60,-0.9999999833333336,0.05434782603772841,0.6018626309662398,0.5087040618955513,0.4442266771447164,0.6018626309662398,526,1031,2.712745098039216,8,7.028128031037827
95,132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,0,95,-0.9999999894736844,0.14415781465226432,0.5497797356828193,0.47275641025641024,0.4090144583756919,0.5497797356828193,295,618,2.570048309178744,12,6.86084142394822
96,133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,0,80,-0.9999999875000002,0.11157601100198604,0.5394944707740916,0.3850658857979502,0.36982414262881674,0.5394944707740916,263,678,2.3807407407407406,6,6.563421828908554
97,134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,0,57,-0.9999999824561407,0.07744565206868798,0.5993121238177128,0.3830703012912482,0.3929529700435844,0.5993121238177128,267,696,2.361069836552749,1,6.498563218390805
98,135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,0,46,-0.9999999782608701,0.05808080800747373,0.5955518945634267,0.5131396957123098,0.44347663611029464,0.5955518945634267,371,719,2.720505617977528,7,7.3449235048678725
99,136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,97,-0.9999999896907218,0.14327917260963194,0.5555555555555556,0.47751937984496123,0.4132299741602068,0.5555555555555556,308,637,2.5585023400936038,14,6.846153846153846
100,137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,0,34,-0.9999999705882362,0.06563706551035316,0.5746987951807229,0.47379454926624737,0.41939733777878807,0.5746987951807229,226,476,2.534782608695652,6,6.857142857142857
101,138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,0,17,-0.999999941176474,0.05610561037588908,0.6017505470459519,0.4727272727272727,0.42979112790928986,0.6017505470459519,130,275,2.6988847583643123,1,7.170909090909091
102,139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,0,45,-0.9999999777777784,0.07627118631140477,0.6118568232662193,0.4826325411334552,0.4377957457598698,0.6118568232662193,264,547,2.6486988847583643,1,7.212065813528336
103,140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,0,53,-0.9999999811320759,0.062352941103114186,0.5909428359317,0.47613065326633164,0.42682939567921263,0.5909428359317,379,792,2.5716129032258066,6,6.945707070707071
104,141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,0,48,-0.9999999791666672,0.017738359195218642,0.6657848324514991,0.3995584988962472,0.4261373325390985,0.6657848324514991,905,2263,2.375543740937651,1,6.306230667255855
105,142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,0,80,-0.9999999875000002,0.07421150271408951,0.5516506922257721,0.4951737451737452,0.4187297749598069,0.5516506922257721,513,1031,2.6098522167487683,11,7.025218234723569
106,143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,0,95,-0.9999999894736844,0.08543165459943196,0.6279212792127922,0.5612144955925563,0.4756543099221395,0.6279212792127922,573,1021,2.7517517517517516,1,7.262487757100882
108,145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,0,7,-0.9999998571428775,0.03414634129684711,0.6312292358803987,0.5052631578947369,0.4545969575100543,0.6312292358803987,96,189,2.8378378378378377,3,7.333333333333333
109,146.0,https://insights.blackcoffer.com/blockchain-for-payments/,0,35,-0.9999999714285723,0.05460218400218068,0.5985915492957746,0.4672268907563025,0.4263273760208309,0.5985915492957746,278,592,2.5163511187607575,2,6.72972972972973
110,147.0,https://insights.blackcoffer.com/the-future-of-investing/,0,71,-0.9999999859154932,0.06981317593922008,0.5246568378240977,0.45930232558139533,0.3935836653621972,0.5246568378240977,474,1022,2.5591397849462365,6,6.946183953033268
111,148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,0,70,-0.9999999857142859,0.06261180674184989,0.5843071786310517,0.4876190476190476,0.4287704905000398,0.5843071786310517,512,1046,2.5471331389698735,6,6.897705544933078
112,149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,0,66,-0.9999999848484851,0.08753315638258202,0.5975103734439834,0.44583333333333336,0.41733748271092674,0.5975103734439834,321,715,2.559659090909091,4,6.8895104895104895
113,150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,0,63,-0.9999999841269844,0.05163934421996775,0.6096372495939361,0.4822380106571936,0.4367501041004519,0.6096372495939361,543,1126,2.71115347950429,2,7.073712255772646
